id,name,image,sd,is_incumbent,party,nyha_support,website
1,Kenneth P. LaValle,https://www.nysenate.gov/sites/default/files/styles/160x160/public/lavalle.jpg?itok=tiKT0R3G,1,Y,R,,
2,John J. Flanagan,https://www.nysenate.gov/sites/default/files/styles/160x160/public/square.2015.senator%20flanagan%20headshot.jpg?itok=dtsm-4zz,2,Y,"R, C, IP",,
3,Thomas D. Croci,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Croci-030.jpg?itok=EXjECNdi,3,Y,R,,
4,Phil Boyle,https://www.nysenate.gov/sites/default/files/styles/160x160/public/02-13-17_boyle-hs-020_0.jpg?itok=EKr9D2fh,4,Y,R,,
5,Carl L Marcellino,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-30-07%29%20Marcellion-HS-29-Ret.jpg?itok=DcaKEf8G,5,Y,"R, C, IP",,
6,Kemp Hannon,https://www.nysenate.gov/sites/default/files/styles/160x160/public/061912_albany_session568-1.jpg?itok=pPNZnISx,6,Y,"R, C, IP",,
7,Elaine Phillips,https://www.nysenate.gov/sites/default/files/styles/160x160/public/headshot_3.jpg?itok=dJrK_VDp,7,Y,R,,
8,John E. Brooks,https://www.nysenate.gov/sites/default/files/styles/160x160/public/jb_headshot_3.jpg?itok=j0U9JmD7,8,Y,D,,
9,Todd Kaminsky,https://www.nysenate.gov/sites/default/files/styles/160x160/public/tk-newheadshot.jpg?itok=7MXdLsXJ,9,Y,D,,
10,James Sanders Jr.,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-10-12%29%20Sanders-HS-010.jpg?itok=1xVLs2NR,10,Y,D,,
11,Tony Avella,https://www.nysenate.gov/sites/default/files/styles/160x160/public/tonyavellahs_0.jpg?itok=VStmCtYu,11,Y,IP,,
12,Michael Gianaris,https://www.nysenate.gov/sites/default/files/styles/160x160/public/2017-_headshot.jpg?itok=28SCgm6A,12,Y,D,,
